,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1 Mo,1.0,0.4258390638715422,0.43177594664419494,0.42842761810145574,0.3901227043024787,0.20578243519567999,0.06790537330344865,0.01511675779263831,-0.007499793149111931,-0.004100328185507177,0.017057060289312725,0.03866828423131487,0.050289591353513144
2 Mo,0.4258390638715423,1.0000000000000002,0.8523905493678692,0.8234498076773425,0.6713236712281531,0.48286581557785496,0.29481757304492995,0.21639158628972746,0.15902607865644205,0.12872266394508874,0.1129991621288804,0.0829605701594193,0.06944379096276769
3 Mo,0.431775946644195,0.8523905493678692,1.0,0.8746264011042617,0.7860350589536436,0.5408332687256712,0.33714421950379647,0.25397915121564396,0.2037597471822496,0.17475754313452857,0.16442402931273944,0.1512360194895542,0.14071010685725316
4 Mo,0.4284276181014558,0.8234498076773425,0.8746264011042617,1.0,0.88482876707915,0.6683609199774276,0.47262624201020703,0.4047812522928575,0.33895492670613114,0.30760340168723643,0.28177233141687835,0.24449779101695124,0.2197485048707076
6 Mo,0.3901227043024787,0.671323671228153,0.7860350589536436,0.88482876707915,0.9999999999999998,0.8490909205410528,0.7065986660481243,0.6375951753689573,0.5653227205532528,0.5227005210095372,0.4773307121463208,0.409169448229399,0.3649189095878316
1 Yr,0.20578243519567999,0.48286581557785496,0.5408332687256712,0.6683609199774276,0.8490909205410528,1.0,0.9204771081671334,0.8645806922633144,0.8019802436422215,0.7542048331281409,0.6983198058263708,0.5980449531346406,0.5478604568325682
2 Yr,0.06790537330344865,0.2948175730449299,0.33714421950379647,0.472626242010207,0.7065986660481243,0.9204771081671334,0.9999999999999999,0.9762843734031471,0.9361423235158851,0.8918050350291101,0.8287811570951698,0.7139677773615564,0.6529760880073822
3 Yr,0.015116757792638302,0.21639158628972743,0.253979151215644,0.4047812522928575,0.6375951753689574,0.8645806922633144,0.9762843734031472,1.0000000000000002,0.9796696958310084,0.9518392157763719,0.9023983647694881,0.8023463847835984,0.7471561043404511
5 Yr,-0.007499793149111927,0.15902607865644205,0.20375974718224962,0.33895492670613114,0.5653227205532528,0.8019802436422216,0.9361423235158851,0.9796696958310084,1.0000000000000002,0.990704378866656,0.9619189191360848,0.8886620012149693,0.8437951387149055
7 Yr,-0.004100328185507177,0.12872266394508874,0.17475754313452857,0.30760340168723643,0.5227005210095373,0.7542048331281409,0.8918050350291102,0.9518392157763719,0.990704378866656,1.0,0.9874613921073926,0.935556247635682,0.8993710724359988
10 Yr,0.017057060289312715,0.1129991621288804,0.16442402931273947,0.28177233141687835,0.4773307121463209,0.6983198058263709,0.8287811570951698,0.9023983647694881,0.9619189191360848,0.9874613921073926,1.0,0.9754214801370689,0.9530027580955375
20 Yr,0.038668284231314874,0.08296057015941931,0.15123601948955423,0.24449779101695124,0.40916944822939905,0.5980449531346407,0.7139677773615565,0.8023463847835984,0.8886620012149693,0.9355562476356821,0.9754214801370689,1.0000000000000002,0.9900362976271805
30 Yr,0.050289591353513116,0.06944379096276768,0.14071010685725316,0.2197485048707076,0.3649189095878316,0.5478604568325681,0.652976088007382,0.7471561043404509,0.8437951387149053,0.8993710724359988,0.9530027580955374,0.9900362976271803,0.9999999999999998
