time_index,maturity_i,maturity_j,covariance
0,1 Mo,1 Mo,0.07093293676841826
0,1 Mo,2 Mo,0.01200959881602443
0,1 Mo,3 Mo,0.009289455665283981
0,1 Mo,4 Mo,0.008616516717432523
0,1 Mo,6 Mo,0.009258841182755388
0,1 Mo,1 Yr,0.007390400714771042
0,1 Mo,2 Yr,0.00342458195600253
0,1 Mo,3 Yr,5.932800485909e-05
0,1 Mo,5 Yr,-0.0008065143641249593
0,1 Mo,7 Yr,-0.00024518811806589216
0,1 Mo,10 Yr,0.0008966893919727224
0,1 Mo,20 Yr,0.0014190086748198788
0,1 Mo,30 Yr,0.00220115940899368
0,2 Mo,1 Mo,0.01200959881602443
0,2 Mo,2 Mo,0.01410855305616695
0,2 Mo,3 Mo,0.009039158351270555
0,2 Mo,4 Mo,0.007824122951518523
0,2 Mo,6 Mo,0.006981675983601484
0,2 Mo,1 Yr,0.008205073244801162
0,2 Mo,2 Yr,0.006943695935083302
0,2 Mo,3 Yr,0.004578727369234759
0,2 Mo,5 Yr,0.0032334235074936756
0,2 Mo,7 Yr,0.0025982848822651535
0,2 Mo,10 Yr,0.0020519159593340875
0,2 Mo,20 Yr,0.0008172019635558734
0,2 Mo,30 Yr,0.0008320061696503033
0,3 Mo,1 Mo,0.009289455665283981
0,3 Mo,2 Mo,0.009039158351270555
0,3 Mo,3 Mo,0.008293091083367638
0,3 Mo,4 Mo,0.006321235127018758
0,3 Mo,6 Mo,0.006217125123349488
0,3 Mo,1 Yr,0.006441932432673018
0,3 Mo,2 Yr,0.005486516843620865
0,3 Mo,3 Yr,0.0037081151838210262
0,3 Mo,5 Yr,0.0029634464209902303
0,3 Mo,7 Yr,0.0025401390902322777
0,3 Mo,10 Yr,0.002274536417342618
0,3 Mo,20 Yr,0.0017507375813343544
0,3 Mo,30 Yr,0.0017962287629662741
0,4 Mo,1 Mo,0.008616516717432524
0,4 Mo,2 Mo,0.007824122951518523
0,4 Mo,3 Mo,0.006321235127018758
0,4 Mo,4 Mo,0.006720259629979434
0,4 Mo,6 Mo,0.006427355032795399
0,4 Mo,1 Yr,0.00726494394166926
0,4 Mo,2 Yr,0.0069385236962316976
0,4 Mo,3 Yr,0.005520048221079288
0,4 Mo,5 Yr,0.004483036394877247
0,4 Mo,7 Yr,0.003930011373213335
0,4 Mo,10 Yr,0.003231808712286112
0,4 Mo,20 Yr,0.00205932016267781
0,4 Mo,30 Yr,0.0017814238121312712
0,6 Mo,1 Mo,0.009258841182755388
0,6 Mo,2 Mo,0.006981675983601484
0,6 Mo,3 Mo,0.006217125123349488
0,6 Mo,4 Mo,0.006427355032795399
0,6 Mo,6 Mo,0.008372856647075756
0,6 Mo,1 Yr,0.01005824827719275
0,6 Mo,2 Yr,0.011434279690944007
0,6 Mo,3 Yr,0.009803951608208966
0,6 Mo,5 Yr,0.008283120970653552
0,6 Mo,7 Yr,0.007250525403164831
0,6 Mo,10 Yr,0.005912904572295697
0,6 Mo,20 Yr,0.0040243202549533124
0,6 Mo,30 Yr,0.0032243681733084457
0,1 Yr,1 Mo,0.007390400714771043
0,1 Yr,2 Mo,0.008205073244801162
0,1 Yr,3 Mo,0.006441932432673018
0,1 Yr,4 Mo,0.007264943941669259
0,1 Yr,6 Mo,0.01005824827719275
0,1 Yr,1 Yr,0.016876511830538052
0,1 Yr,2 Yr,0.020529264213976592
0,1 Yr,3 Yr,0.018375309721257952
0,1 Yr,5 Yr,0.015841848985623384
0,1 Yr,7 Yr,0.01378883018403147
